id|review-parts|review-rating
18|together)|no_rating_yet
19|Das|no_rating_yet
19|Spiel|no_rating_yet
19|macht|no_rating_yet
19|echt|no_rating_yet
19|Spaß,|no_rating_yet
19|soweit|no_rating_yet
19|ich|no_rating_yet
19|das|no_rating_yet
19|beurteilen|no_rating_yet
19|kann|no_rating_yet
19|(war|no_rating_yet
19|nur|no_rating_yet
19|lvl|no_rating_yet
19|4)...Danach|no_rating_yet
19|kam|no_rating_yet
19|Werbung|no_rating_yet
19|und|no_rating_yet
19|man|no_rating_yet
19|muss|no_rating_yet
19|sich|no_rating_yet
19|ein|no_rating_yet
19|Video|no_rating_yet
19|anschauen,|no_rating_yet
19|sofort|no_rating_yet
19|wieder|no_rating_yet
19|deinstalliert!|no_rating_yet
20|Und|no_rating_yet
20|zack,|no_rating_yet
20|nach|no_rating_yet
20|nur|no_rating_yet
20|zwölf|no_rating_yet
20|Stunden|no_rating_yet
20|sind|no_rating_yet
20|die|no_rating_yet
20|Mammuts,|no_rating_yet
20|dank|no_rating_yet
20|mir,|no_rating_yet
20|ausgestorben.|no_rating_yet
20|Zwischen|no_rating_yet
20|lvl|no_rating_yet
20|60|no_rating_yet
20|und|no_rating_yet
20|80|no_rating_yet
20|ist|no_rating_yet
20|alles|no_rating_yet
20|auf|no_rating_yet
20|Zeit|no_rating_yet
20|nicht|no_rating_yet
20|ganz|no_rating_yet
20|so|no_rating_yet
20|leicht,|no_rating_yet
20|danach|no_rating_yet
20|wird's|no_rating_yet
20|wieder|no_rating_yet
20|Pipifax.|no_rating_yet
21|Cool|no_rating_yet
21|gemacht|no_rating_yet
21|und|no_rating_yet
21|sehr|no_rating_yet
21|schön|no_rating_yet
21|grafisch|no_rating_yet
21|gestaltet.|no_rating_yet
21|Nur|no_rating_yet
21|fehlt|no_rating_yet
21|etwas|no_rating_yet
21|mehr|no_rating_yet
21|Abwechslung|no_rating_yet
21|und|no_rating_yet
21|anstatt|no_rating_yet
21|einen|no_rating_yet
21|Speer|no_rating_yet
21|könnte|no_rating_yet
21|man|no_rating_yet
21|sich|no_rating_yet
21|ja|no_rating_yet
21|noch|no_rating_yet
21|andere|no_rating_yet
21|Gegenstände|no_rating_yet
21|wie|no_rating_yet
21|Pfeil|no_rating_yet
21|und|no_rating_yet
21|Bogen,|no_rating_yet
21|Axt|no_rating_yet
21|oder|no_rating_yet
21|Steine|no_rating_yet
21|etc.|no_rating_yet
21|dazuholen.|no_rating_yet
21|Und|no_rating_yet
21|anstatt|no_rating_yet
21|nur|no_rating_yet
21|einen|no_rating_yet
21|Mamut|no_rating_yet
21|würde|no_rating_yet
21|ich|no_rating_yet
21|auch|no_rating_yet
21|noch|no_rating_yet
21|andere|no_rating_yet
21|Uhrzeit|no_rating_yet
21|Wesen|no_rating_yet
21|miteinbauen,|no_rating_yet
21|dann|no_rating_yet
21|wäre|no_rating_yet
21|es|no_rating_yet
21|für|no_rating_yet
21|mich|no_rating_yet
21|zumindest|no_rating_yet
21|der|no_rating_yet
21|absolute|no_rating_yet
21|Kracher.|no_rating_yet
22|Sehr|no_rating_yet
22|simple|no_rating_yet
22|gehaltenes|no_rating_yet
22|Spiel|no_rating_yet
22|und|no_rating_yet
22|trotzdem|no_rating_yet
22|ist|no_rating_yet
22|der|no_rating_yet
